AcclerometerX,AcclerometerY,AcclerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,MagnetometerX,MagnetometerY,MagnetometerZ,Roll,Pitch,Yaw
0.081407,-0.363937,-9.922078,0.028613,-0.000784,-0.002264,-1532.366088,-910.153442,-2014.451416,-0.76,0.53,0.72
0.095773,-0.368726,-9.926867,0.027415,-0.000119,-0.004394,-1532.366088,-910.153442,-2014.451416,-0.76,0.54,0.72
0.095773,-0.368726,-9.926867,0.027415,-0.000119,-0.004394,-1532.366088,-910.153442,-2014.451416,-0.77,0.54,0.72
0.086196,-0.378303,-9.902923,0.024885,-0.000518,-0.00253,-1532.366088,-910.153442,-2014.451416,-0.78,0.54,0.72
0.086196,-0.363937,-9.912501,0.023287,0.000148,-0.002131,-1532.366088,-910.153442,-2014.451416,-0.79,0.55,0.73
0.086196,-0.359149,-9.898135,0.024352,0.000281,-0.002397,-1532.366088,-910.153442,-2014.451416,-0.79,0.55,0.73
0.086196,-0.359149,-9.898135,0.024352,0.000281,-0.002397,-1532.366088,-910.153442,-2014.451416,-0.8,0.55,0.73
0.07183,-0.373515,-9.902923,0.024619,0.000414,-0.006791,-1531.280151,-910.153442,-2015.852416,-0.81,0.56,0.73
0.086196,-0.363937,-9.912501,0.023287,0.000015,-0.01518,-1531.280151,-910.153442,-2015.852416,-0.81,0.56,0.73
0.086196,-0.363937,-9.912501,0.023287,0.000015,-0.01518,-1531.280151,-910.153442,-2015.852416,-0.82,0.56,0.73
0.110139,-0.368726,-9.907711,0.022488,0.000281,-0.016379,-1531.280151,-910.153442,-2015.852416,-0.83,0.57,0.73
0.100562,-0.359149,-9.917289,0.023953,-0.000252,-0.009854,-1531.280151,-910.153442,-2015.852416,-0.84,0.57,0.73
0.086196,-0.35436,-9.902923,0.026483,0.000148,-0.003329,-1531.280151,-910.153442,-2015.852416,-0.84,0.57,0.74
0.086196,-0.35436,-9.902923,0.026483,0.000148,-0.003329,-1531.280151,-910.153442,-2015.852416,-0.85,0.58,0.74
0.081407,-0.373515,-9.893346,0.027282,0.000281,0.002264,-1531.280151,-910.153442,-2015.852416,-0.86,0.58,0.74
0.081407,-0.35436,-9.902923,0.027681,0.000281,0.003595,-1531.280151,-910.153442,-2015.852416,-0.86,0.58,0.74
0.081407,-0.35436,-9.902923,0.027681,0.000281,0.003595,-1531.280151,-910.153442,-2015.852416,-0.87,0.59,0.74
0.095773,-0.359149,-9.936444,0.025418,0.001213,0.000799,-1530.375244,-910.334411,-2016.377807,-0.88,0.59,0.74
0.10535,-0.373515,-9.893346,0.025418,-0.000385,-0.000932,-1530.375244,-910.334411,-2016.377807,-0.88,0.59,0.75
