AcclerometerX,AcclerometerY,AcclerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,MagnetometerX,MagnetometerY,MagnetometerZ,Roll,Pitch,Yaw
-9.687434,-0.009577,0.445344,0.033117,-0.002422,0.009097,20.450853,47.598003,-34.849678,-0.24,-0.23,-0.46
-9.697011,-0.014366,0.440556,0.033916,0.001439,0.022813,20.450853,47.598003,-34.849678,-0.25,-0.23,-0.47
-9.725744,0.009577,0.450133,0.033516,-0.00189,0.034398,20.450853,47.598003,-34.849678,-0.25,-0.24,-0.47
-9.725744,0.009577,0.450133,0.033516,-0.00189,0.034398,20.450853,47.598003,-34.849678,-0.25,-0.24,-0.48
-9.682645,-0.004789,0.440556,0.035247,0.002638,0.015223,22.984586,50.131736,-34.499427,-0.25,-0.24,-0.49
-9.7018,-0.014366,0.469287,0.033783,-0.003221,0.019084,22.984586,50.131736,-34.499427,-0.26,-0.25,-0.49
-9.7018,-0.014366,0.469287,0.033783,-0.003221,0.019084,22.984586,50.131736,-34.499427,-0.26,-0.25,-0.5
-9.687434,-0.014366,0.445344,0.034182,-0.000824,0.01722,22.984586,50.131736,-34.499427,-0.26,-0.25,-0.5
-9.687434,-0.019155,0.45971,0.033516,-0.001357,0.02774,22.984586,50.131736,-34.499427,-0.26,-0.25,-0.51
-9.687434,-0.019155,0.45971,0.033516,-0.001357,0.02774,22.984586,50.131736,-34.499427,-0.27,-0.26,-0.51
-9.682645,0,0.464499,0.033117,-0.000158,0.026408,22.984586,50.131736,-34.499427,-0.27,-0.26,-0.52
-9.682645,0.004789,0.464499,0.033117,-0.000824,0.015356,22.984586,50.131736,-34.499427,-0.27,-0.26,-0.53
-9.682645,0.004789,0.464499,0.033117,-0.000824,0.015356,22.984586,50.131736,-34.499427,-0.28,-0.26,-0.53
-9.706589,-0.009577,0.450133,0.032451,-0.002156,0.016688,21.8987,49.40781,-35.199924,-0.28,-0.27,-0.54
-9.706589,0.009577,0.445344,0.033383,0.001306,0.024145,21.8987,49.40781,-35.199924,-0.28,-0.27,-0.54
