,44.340343,44.702304,-45.357116,-11.87,-42.85,-16.27,,,,,,,,,,
0.07183,-7.771975,5.818207,-0.001762,0.000005,0.000987,42.711513,45.607212,-45.532241,-11.88,-42.87,-16.27,,,,,
0.081407,-7.767186,5.813418,-0.000164,0.000804,0.00072,42.711513,45.607212,-45.532241,-11.88,-42.87,-16.27,,,,,
0.095773,-7.771975,5.837361,0.001434,0.000937,0.000854,42.711513,45.607212,-45.532241,-11.88,-42.87,-16.27,,,,,
0.095773,-7.771975,5.837361,0.001434,0.000937,0.000854,42.711513,45.607212,-45.532241,-11.88,-42.87,-16.27,,,,,
0.086196,-7.762397,5.851727,-0.001362,0.000937,0.000321,42.711513,45.607212,-45.532241,-11.88,-42.87,-16.27,,,,,
0.090984,-7.757609,5.861304,0.002766,0.000138,-0.000079,42.711513,45.607212,-45.532241,-11.88,-42.87,-16.27,,,,,
0.090984,-7.757609,5.861304,0.002766,0.000138,-0.000079,42.711513,45.607212,-45.532241,-11.88,-42.87,-16.27,,,,,
0.095773,-7.767186,5.827784,0.000635,0.000138,0.000587,42.711513,46.331134,-45.181991,-11.88,-42.87,-16.27,,,,,
0.090984,-7.767186,5.84215,-0.00043,0.000138,0.000454,42.711513,46.331134,-45.181991,-11.88,-42.87,-16.27,,,,,
0.090984,-7.767186,5.84215,-0.00043,0.000138,0.000454,42.711513,46.331134,-45.181991,-11.88,-42.87,-16.27,,,,,
0.081407,-7.75282,5.813418,0.000502,0.000138,0.000587,42.711513,46.331134,-45.181991,-11.88,-42.87,-16.27,,,,,
0.076618,-7.771975,5.846939,-0.001362,0.000405,0.000854,42.711513,46.331134,-45.181991,-11.88,-42.87,-16.27,,,,,
0.086196,-7.776763,5.84215,0.004497,0.000005,0.000454,42.711513,46.331134,-45.181991,-11.88,-42.87,-16.27,,,,,
0.086196,-7.776763,5.84215,0.004497,0.000005,0.000454,42.711513,46.331134,-45.181991,-11.88,-42.87,-16.27,,,,,
0.086196,-7.767186,5.846939,0.001834,0.001071,0.000454,42.711513,46.331134,-45.181991,-11.88,-42.87,-16.27,,,,,
0.086196,-7.767186,5.808629,0.000901,0.001071,0.000188,41.98759,46.693096,-44.831745,-11.88,-42.87,-16.27,,,,,
0.086196,-7.767186,5.808629,0.000901,0.001071,0.000188,41.98759,46.693096,-44.831745,-11.88,-42.87,-16.27,,,,,
